,label,url,brand,name,skin_tone,skin_type,price,image
0,foundation,https://www.sephora.com/product/ilia-super-serum-skin-tint-spf-40-P455418?skuId=2333698&icid2=products grid:p455418:product,ilia,super serum skin tint spf 40 skincare foundation,very light,normal,$48.00,https://www.sephora.com/productimages/sku/s2333698-main-zoom.jpg?imwidth=612
1,foundation,https://www.sephora.com/product/ilia-super-serum-skin-tint-spf-40-P455418?skuId=2333664,ilia,super serum skin tint spf 40 skincare foundation,light,normal,$48.00,https://www.sephora.com/productimages/sku/s2333664-main-zoom.jpg?imwidth=612
2,foundation,https://www.sephora.com/product/ilia-super-serum-skin-tint-spf-40-P455418?skuId=2333607,ilia,super serum skin tint spf 40 skincare foundation,medium,normal,$48.00,https://www.sephora.com/productimages/sku/s2333607-main-zoom.jpg?imwidth=612
3,foundation,https://www.sephora.com/product/ilia-super-serum-skin-tint-spf-40-P455418?skuId=2428795,ilia,super serum skin tint spf 40 skincare foundation,medium deep,normal,$48.00,https://www.sephora.com/productimages/sku/s2428795-main-zoom.jpg?imwidth=612
4,foundation,https://www.sephora.com/product/ilia-super-serum-skin-tint-spf-40-P455418?skuId=2333565,ilia,super serum skin tint spf 40 skincare foundation,deep,normal,$48.00,https://www.sephora.com/productimages/sku/s2333565-main-zoom.jpg?imwidth=612
5,foundation,https://www.sephora.com/product/ilia-super-serum-skin-tint-spf-40-P455418?skuId=2428852,ilia,super serum skin tint spf 40 skincare foundation,extra deep,normal,$48.00,https://www.sephora.com/productimages/sku/s2428852-main-zoom.jpg?imwidth=612
6,foundation,https://www.sephora.com/product/triclone-skin-tech-medium-coverage-foundation-with-fermented-arnica-P502185?skuId=2597490,haus labs by lady gaga,triclone skin tech medium coverage foundation with fermented arnica,very light,normal,$45.00,https://www.sephora.com/productimages/sku/s2597490-main-zoom.jpg?imwidth=612
7,foundation,https://www.sephora.com/product/triclone-skin-tech-medium-coverage-foundation-with-fermented-arnica-P502185?skuId=2597433,haus labs by lady gaga,triclone skin tech medium coverage foundation with fermented arnica,light,normal,$45.00,https://www.sephora.com/productimages/sku/s2597433-main-zoom.jpg?imwidth=612
8,foundation,https://www.sephora.com/product/triclone-skin-tech-medium-coverage-foundation-with-fermented-arnica-P502185?skuId=2597276,haus labs by lady gaga,triclone skin tech medium coverage foundation with fermented arnica,medium,normal,$45.00,https://www.sephora.com/productimages/sku/s2597276-main-zoom.jpg?imwidth=612
9,foundation,https://www.sephora.com/product/triclone-skin-tech-medium-coverage-foundation-with-fermented-arnica-P502185?skuId=2597201,haus labs by lady gaga,triclone skin tech medium coverage foundation with fermented arnica,medium deep,normal,$45.00,https://www.sephora.com/productimages/sku/s2597201-main-zoom.jpg?imwidth=612
